Model created!
Starting value iteration ...
Value iteration complete!
76.5255592153 100 100
76.2587314981 100 100
75.990867131 100 100
75.7219766891 100 100
75.4520707875 100 100
75.1811600818 100 100
74.909255267 100 100
74.6363670774 100 100
74.3625062863 100 100
74.0876837051 100 100
73.8119101834 100 100
73.5351966083 100 100
73.2575539039 100 100
72.9789930311 100 100
72.699524987 100 100
72.4191608045 100 100
72.1379115519 100 100
71.8557883325 100 100
71.572802284 100 100
71.2889645783 100 100
71.0042864206 100 100
70.7187790497 100 100
70.4324537368 100 100
70.1453217857 100 100
69.8573945317 100 100
69.5686833419 100 100
69.2791996139 100 100
68.9889547761 100 100
68.6979602869 100 100
68.4062276342 100 100
68.1137683352 100 100
67.8205939357 100 100
67.5267160096 100 100
67.2321461587 100 100
66.9368960123 100 100
66.6409772262 100 100
66.3444014827 100 100
66.0471804904 100 100
65.7493259828 100 100
65.4508497187 100 100
65.1517634816 100 100
64.8520790789 100 100
64.5518083414 100 100
64.2509631235 100 100
63.949555302 90 100
63.6475967759 90 100
63.345099466 90 100
63.0420753145 80 100
62.7385362842 80 100
62.4344943582 80 100
62.1299615398 80 100
61.8249498512 80 100
61.5194713338 80 100
61.2135380475 80 100
60.9071620698 80 100
60.6003554961 80 100
60.2931304385 80 100
59.9854990257 80 100
59.6774734025 80 100
59.3690657293 80 100
59.0602881814 80 100
58.7511529488 80 100
58.4416722356 80 100
58.1318582597 80 100
57.821723252 80 100
57.511279456 80 100
57.2005391276 80 100
56.8895145342 80 100
56.5782179546 80 100
56.2666616782 80 100
55.9548580047 80 100
55.6428192437 80 100
55.3305577138 80 100
55.0180857426 80 100
54.7054156659 80 100
54.3925598275 80 100
54.0795305784 80 100
53.7663402764 80 100
53.4530012857 80 100
53.1395259765 80 100
52.8259267241 80 100
52.512215909 80 100
52.1984059159 80 100
51.8845091335 80 100
51.5705379539 80 100
51.2565047722 80 100
50.9424219858 80 100
50.6283019942 80 100
50.3141571983 80 100
50.0 80 100
49.6858428017 80 100
49.3716980058 80 100
49.0575780142 80 100
48.7434952278 80 100
48.4294620461 80 100
